recebimento_id,pedido_id,data_recebimento,valor_recebido,meio_pagamento
REC-001,PED-1001,2026-08-02,324.00,Pix
REC-002,PED-1002,2026-08-05,902.50,Boleto
REC-003,PED-1003,2026-08-08,900.00,Transferência
REC-004,PED-1003,2026-08-12,960.00,Transferência
REC-005,PED-1004,2026-08-10,427.50,Cartão
REC-006,PED-1005,2026-08-15,754.40,Pix
REC-007,PED-1008,2026-09-05,902.50,Boleto
REC-008,PED-1009,2026-09-06,1476.00,Transferência
REC-009,PED-1010,2026-09-09,610.00,Pix
REC-010,PED-1012,2026-09-15,360.00,Cartão
REC-011,PED-8888,2026-09-16,250.00,Pix
