cliente_id,segmento,uf,data_cadastro
C001,Consumidor,BA,2025-02-10
C002,PME,PE,2025-03-14
C003,Consumidor,SP,2025-05-20
C004,Enterprise,CE,2025-06-18
C005,PME,RJ,2025-07-02
C006,Consumidor,MG,2025-08-09
C007,PME,BA,2025-09-21
C008,Enterprise,PE,2025-10-03
C009,Consumidor,PR,2025-11-11
C010,PME,SP,2025-12-04
C011,Consumidor,BA,2026-01-19
C012,Enterprise,RJ,2026-02-23
C013,PME,MG,2026-03-08
C014,Consumidor,CE,2026-04-16
C015,PME,PE,2026-05-29
C016,Enterprise,SP,2026-06-12
C017, consumidor ,BA,2026-07-07
C018,PME,PR,2026-08-18
