pedido_id,data_pedido,cliente_id,produto_id,canal,uf_entrega,status,quantidade,preco_unitario,desconto_pct,frete,dias_entrega
P001,2026-10-02,C001,PR01,Site,BA,Entregue,2,89.90,0,18.00,3
P002,2026-10-03,C002,PR06,Marketplace,PE,Entregue,1,2799.00,5,0.00,6
P003,2026-10-05,C003,PR02,Loja,SP,Entregue,1,249.90,0,0.00,0
P004,2026-10-06,C004,PR07,Site,CE,Cancelado,1,4699.00,10,35.00,
P005,2026-10-08,C005,PR03,Marketplace,RJ,Entregue,2,899.00,8,45.00,9
P006,2026-10-10,C006,PR04,Site,MG,Entregue,1,189.90,0,16.00,4
P007,2026-10-12,C007,PR05,Loja,BA,Entregue,3,199.90,5,0.00,0
P008,2026-10-14,C008,PR06,Marketplace,PE,Cancelado,1,2749.00,0,0.00,
P009,2026-10-16,C009,PR08,Site,PR,Entregue,2,119.90,0,22.00,7
P010,2026-10-18,C010,PR03,Loja,SP,Entregue,1,949.00,3,0.00,0
P011,2026-10-20,C011,PR01,Marketplace,BA,Entregue,4,84.90,0,26.00,11
P012,2026-10-22,C012,PR07,Site,RJ,Entregue,1,4599.00,7,42.00,8
P013,2026-10-24,C013,PR02,Marketplace,MG,Entregue,2,239.90,0,25.00,5
P014,2026-10-27,C014,PR04,Loja,CE,Entregue,2,179.90,0,0.00,0
P015,2026-10-29,C015,PR05,Site,PE,Entregue,1,209.90,0,20.00,13
P016,2026-11-02,C016,PR06,Marketplace,SP,Entregue,1,2899.00,5,0.00,7
P017,2026-11-04,C017,PR01,Site,BA,Entregue,3,87.90,0,18.00,4
P018,2026-11-06,C018,PR03,Loja,PR,Entregue,1,929.00,0,0.00,0
P019,2026-11-08,C001,PR02,Marketplace,BA,Cancelado,2,249.90,0,24.00,
P020,2026-11-09,C002,PR07,Site,PE,Entregue,1,4799.00,8,40.00,10
P021,2026-11-11,C003,PR04,Loja,SP,Entregue,1,194.90,0,0.00,0
P022,2026-11-13,C004,PR06,Marketplace,CE,Entregue,2,2849.00,6,55.00,14
P023,2026-11-15,C005,PR08,Site,RJ,Entregue,5,117.90,0,28.00,6
P024,2026-11-17,C006,PR05,Marketplace,MG,ENTREGUE,2,204.90,4,23.00,8
P025,2026-11-19,C007,PR03,Loja,BA,Cancelado,1,949.00,0,0.00,
P026,2026-11-21,C008,PR07,Site,PE,Entregue,1,4699.00,5,38.00,12
P027,2026-11-23,C009,PR01,Marketplace,PR,Entregue,6,82.90,0,30.00,9
P028,2026-11-25,C010,PR02,Loja,SP,Entregue,2,244.90,0,0.00,0
P029,2026-11-27,C011,PR04,Site,BA,Cancelado,1,189.90,0,16.00,
P030,2026-11-29,C012,PR06,Marketplace,RJ,Entregue,1,2799.00,3,35.00,15
P031,2026-12-01,C013,PR05,Site,MG,Entregue,3,199.90,5,22.00,5
P032,2026-12-03,C014,PR08,Loja,CE,Entregue,4,119.90,0,0.00,0
P033,2026-12-05,C015,PR07,Marketplace,PE,Cancelado,1,4899.00,12,0.00,
P034,2026-12-07,C016,PR03,Site,SP,Entregue,2,929.00,4,44.00,7
P035,2026-12-09,C017,PR01,Marketplace,BA,Entregue,5,86.90,0,29.00,13
P036,2026-12-11,C018,PR02,Loja,PR,Entregue,2,249.90,0,0.00,0
P037,2026-12-13,C001,PR06,Site,BA,Entregue,1,2899.00,6,37.00,9
P038,2026-12-15,C002,PR04,Marketplace,PE,Cancelado ,3,184.90,0,25.00,
P039,2026-12-17,C003,PR05,Loja,SP,Entregue,2,209.90,0,0.00,0
P040,2026-12-19,C004,PR07,Site,CE,Entregue,1,4799.00,10,48.00,16
P041,2026-12-21,C005,PR08,Marketplace,RJ,Entregue,3,114.90,0,27.00,8
P042,2026-12-22,C006,PR03,Loja,MG,Entregue,1,939.00,0,0.00,0
P043,2026-12-24,C999,PR01,Site,BA,Entregue,2,89.90,0,19.00,6
P044,2026-12-26,C008,PR99,Marketplace,PE,Entregue,1,399.90,0,24.00,10
P045,2026-12-28,C010,PR06,Loja,SP,Cancelado,1,2899.00,0,0.00,
P045,2026-12-28,C010,PR06,Loja,SP,Cancelado,1,2899.00,0,0.00,
