chamado_id,cliente_id,data_abertura,duracao_min,categoria,resolvido
CHA-00001,CLI-0001,2025-09-08,207,conexão,true
CHA-00002,CLI-0001,2025-09-09,108,instalação,true
CHA-00003,CLI-0004,2026-03-09,221,conexão,true
CHA-00004,CLI-0005,2025-12-12,23,conexão,true
CHA-00005,CLI-0005,2026-01-01,128,equipamento,true
CHA-00006,CLI-0005,2025-09-25,41,instalação,true
CHA-00007,CLI-0005,2026-02-19,192,instalação,false
CHA-00008,CLI-0005,2026-05-27,199,instalação,true
CHA-00009,CLI-0006,2025-09-01,177,equipamento,true
CHA-00010,CLI-0006,2026-07-28,221,conexão,true
CHA-00011,CLI-0006,2026-03-19,191,instalação,true
CHA-00012,CLI-0006,2026-01-26,16,equipamento,true
CHA-00013,CLI-0006,2025-10-18,54,instalação,true
CHA-00014,CLI-0007,2025-11-14,141,equipamento,true
CHA-00015,CLI-0007,2026-03-01,126,conexão,true
CHA-00016,CLI-0007,2025-08-22,33,equipamento,true
CHA-00017,CLI-0008,2025-07-21,191,conexão,true
CHA-00018,CLI-0008,2025-11-09,58,instalação,false
CHA-00019,CLI-0008,2025-11-30,139,equipamento,true
CHA-00020,CLI-0008,2026-05-05,122,instalação,true
CHA-00021,CLI-0009,2025-10-30,74,instalação,true
CHA-00022,CLI-0009,2025-09-20,194,financeiro,true
CHA-00023,CLI-0009,2025-08-24,236,financeiro,true
CHA-00024,CLI-0009,2026-07-06,30,equipamento,true
CHA-00025,CLI-0011,2026-05-22,127,instalação,false
CHA-00026,CLI-0011,2026-07-29,71,equipamento,true
CHA-00027,CLI-0011,2025-07-12,73,instalação,true
CHA-00028,CLI-0013,2025-06-09,5,financeiro,true
CHA-00029,CLI-0013,2026-07-09,113,instalação,true
CHA-00030,CLI-0013,2025-10-28,20,conexão,false
CHA-00031,CLI-0014,2026-06-02,50,equipamento,true
CHA-00032,CLI-0014,2025-07-25,62,conexão,true
CHA-00033,CLI-0014,2026-03-02,123,equipamento,true
CHA-00034,CLI-0015,2025-10-11,86,instalação,true
CHA-00035,CLI-0015,2026-05-20,174,financeiro,true
CHA-00036,CLI-0015,2026-03-14,20,financeiro,true
CHA-00037,CLI-0015,2025-12-26,147,equipamento,true
CHA-00038,CLI-0015,2026-02-06,169,equipamento,true
CHA-00039,CLI-0016,2025-10-05,190,financeiro,true
CHA-00040,CLI-0016,2026-02-12,82,conexão,true
