cliente_id,cidade,plano_id,canal_aquisicao,data_ativacao,mensalidade
CLI-0001,Ilhéus,PL03,telefone,2024-01-01,142.9
CLI-0002,Vitória da Conquista,PL03,indicação,2024-04-08,145.39
CLI-0003,Ilhéus,PL02,site,2024-06-22,103.78
CLI-0004,Feira de Santana,PL01,indicação,2023-08-06,76.14
CLI-0005,Salvador,PL04,telefone,2023-01-14,219.45
CLI-0006,Eunápolis,PL04,site,2023-09-01,192.51
CLI-0007,Feira de Santana,PL05,site,2023-12-10,295.58
CLI-0008,Eunápolis,PL04,site,2024-09-28,200.42
CLI-0009,Feira de Santana,PL04,indicação,2024-07-26,185.59
CLI-0010,Salvador,PL04,telefone,2025-07-07,215.41
CLI-0011,Feira de Santana,PL05,site,2022-09-20,312.55
CLI-0012,Ilhéus,PL03,telefone,2024-03-03,160.61
CLI-0013,Eunápolis,PL04,site,2026-03-11,204.43
CLI-0014,Eunápolis,PL04,telefone,2023-12-27,187.12
CLI-0015,Eunápolis,PL01,site,2024-03-31,82.13
CLI-0016,Salvador,PL05,indicação,2025-06-07,298.53
CLI-0017,Vitória da Conquista,PL02,telefone,2026-05-30,107.6
CLI-0018,Feira de Santana,PL04,indicação,2023-12-02,190.68
CLI-0019,Feira de Santana,PL05,site,2025-09-01,313.08
CLI-0020,Feira de Santana,PL03,loja,2024-05-07,152.92
CLI-0021,Eunápolis,PL01,telefone,2025-06-14,82.41
CLI-0022,Ilhéus,PL04,site,2023-03-04,202.21
CLI-0023,Vitória da Conquista,PL04,site,2025-09-20,194.01
CLI-0024,Salvador,PL01,indicação,2026-06-11,77.06
CLI-0025,Eunápolis,PL01,loja,2024-11-04,75.36
CLI-0026,Vitória da Conquista,PL02,site,2024-06-13,111.16
CLI-0027,Feira de Santana,PL02,telefone,2023-05-23,107.46
CLI-0028,Ilhéus,PL02,indicação,2025-04-29,120.03
CLI-0029,Vitória da Conquista,PL01,loja,2023-12-07,86.22
CLI-0030,Feira de Santana,PL03,telefone,2022-07-31,157.56
CLI-0031,Salvador,PL01,telefone,2025-09-19,79.13
CLI-0032,Salvador,PL01,loja,2023-03-18,77.7
CLI-0033,Eunápolis,PL01,indicação,2024-08-15,81.88
CLI-0034,Vitória da Conquista,PL01,indicação,2023-11-23,78.74
CLI-0035,Ilhéus,PL04,loja,2026-01-10,204.12
CLI-0036,Ilhéus,PL03,loja,2022-07-20,144.35
CLI-0037,Ilhéus,PL02,site,2026-04-23,115.34
CLI-0038,Eunápolis,PL05,indicação,2024-09-12,286.69
CLI-0039,Eunápolis,PL03,loja,2022-07-21,148.0
CLI-0040,Salvador,PL03,indicação,2023-12-31,144.19
CLI-0041,Vitória da Conquista,PL02,loja,2026-03-13,110.51
CLI-0042,Feira de Santana,PL04,loja,2023-03-13,217.52
CLI-0043,Salvador,PL01,indicação,2023-05-07,87.37
CLI-0044,Ilhéus,PL03,loja,2024-03-01,143.54
CLI-0045,Salvador,PL01,site,2022-09-06,79.46
CLI-0046,Eunápolis,PL03,indicação,2025-04-12,158.21
CLI-0047,Vitória da Conquista,PL03,site,2023-08-29,163.11
CLI-0048,Feira de Santana,PL03,indicação,2022-12-18,156.93
CLI-0049,Ilhéus,PL03,loja,2023-07-03,155.71
CLI-0050,Feira de Santana,PL04,loja,2024-08-24,184.42
CLI-0051,Eunápolis,PL04,site,2023-04-24,208.35
CLI-0052,Eunápolis,PL02,telefone,2023-09-01,120.22
CLI-0053,Vitória da Conquista,PL05,telefone,2023-11-07,282.75
CLI-0054,Ilhéus,PL01,indicação,2024-04-30,81.56
CLI-0055,Eunápolis,PL05,loja,2024-11-24,307.26
CLI-0056,Feira de Santana,PL05,site,2023-02-13,293.55
CLI-0057,Ilhéus,PL02,telefone,2024-03-03,103.13
CLI-0058,Ilhéus,PL01,telefone,2025-05-07,83.84
CLI-0059,Vitória da Conquista,PL03,loja,2022-08-28,146.35
CLI-0060,Feira de Santana,PL02,loja,2022-09-27,107.38
CLI-0061,Feira de Santana,PL03,indicação,2024-04-20,141.92
CLI-0062,Eunápolis,PL02,indicação,2023-08-10,119.07
CLI-0063,Feira de Santana,PL05,loja,2025-08-07,329.34
CLI-0064,Salvador,PL05,site,2023-03-11,298.59
CLI-0065,Salvador,PL01,loja,2022-07-11,81.81
CLI-0066,Salvador,PL04,indicação,2026-01-03,192.77
CLI-0067,Vitória da Conquista,PL01,indicação,2023-06-03,79.06
CLI-0068,Salvador,PL02,telefone,2024-11-21,115.92
CLI-0069,Salvador,PL02,telefone,2023-12-09,108.05
CLI-0070,Salvador,PL04,telefone,2022-12-21,213.68
CLI-0071,Vitória da Conquista,PL02,loja,2025-03-09,105.74
CLI-0072,Ilhéus,PL02,indicação,2026-06-18,105.25
