cliente_id,cidade,plano,canal_aquisicao,mensalidade,nps,chamados_90d,atraso_dias,tempo_cliente_meses,data_ativacao,churn,data_cancelamento,motivo_cancelamento,status_atual
CLI-0001,Ilhéus,Família 500,telefone,142.9,8,0,10,31,2024-01-01,0,,,ativo
CLI-0002,Vitória da Conquista,Família 500,indicação,145.39,7,0,0,28,2024-04-08,0,,,ativo
CLI-0003,Ilhéus,Casa 300,site,103.78,7,2,10,25,2024-06-22,1,2026-06-26,mudança,cancelado
CLI-0004,Feira de Santana,Básico 100,indicação,76.14,5,3,0,36,2023-08-06,0,,,ativo
CLI-0005,Salvador,Gamer 700,telefone,219.45,6,0,0,43,2023-01-14,0,,,ativo
CLI-0006,Eunápolis,Gamer 700,site,192.51,9,0,0,35,2023-09-01,0,,,ativo
CLI-0007,Feira de Santana,Empresa 1000,site,295.58,6,1,60,32,2023-12-10,0,,,ativo
CLI-0008,Eunápolis,Gamer 700,site,200.42,3,3,0,22,2024-09-28,0,,,ativo
CLI-0009,Feira de Santana,Gamer 700,indicação,185.59,6,2,35,24,2024-07-26,0,,,ativo
CLI-0010,Salvador,Gamer 700,telefone,215.41,7,0,0,13,2025-07-07,0,,,ativo
CLI-0011,Feira de Santana,Empresa 1000,site,312.55,5,0,0,47,2022-09-20,0,,,ativo
CLI-0012,Ilhéus,Família 500,telefone,160.61,8,2,20,29,2024-03-03,0,,,ativo
CLI-0013,Eunápolis,Gamer 700,site,204.43,7,1,0,4,2026-03-11,0,,,ativo
CLI-0014,Eunápolis,Gamer 700,telefone,187.12,8,0,60,31,2023-12-27,0,,,ativo
CLI-0015,Eunápolis,Básico 100,site,82.13,2,2,0,28,2024-03-31,0,,,ativo
CLI-0016,Salvador,Empresa 1000,indicação,298.53,5,6,5,14,2025-06-07,0,,,ativo
CLI-0017,Vitória da Conquista,Casa 300,telefone,107.6,8,2,0,2,2026-05-30,0,,,ativo
CLI-0018,Feira de Santana,Gamer 700,indicação,190.68,2,0,10,32,2023-12-02,0,,,ativo
CLI-0019,Feira de Santana,Empresa 1000,site,313.08,8,2,10,11,2025-09-01,0,,,ativo
CLI-0020,Feira de Santana,Família 500,loja,152.92,9,1,60,27,2024-05-07,0,,,ativo
