contrato_id,data_concessao,idade,renda_mensal,divida_atual,atrasos_12m,tempo_emprego_meses,valor_solicitado,taxa_juros_mensal,prazo_meses,default_90d
CRD-00001,2025-11-21,68,1925.52,1850.03,3,118,7780.11,3.82,12,1
CRD-00002,2024-06-09,54,7716.88,8780.54,0,165,16373.37,2.94,6,0
CRD-00003,2026-01-04,19,8155.15,5180.39,3,118,43960.44,4.65,24,0
CRD-00004,2023-08-06,63,10905.66,5147.78,2,149,29230.16,2.3,6,1
CRD-00005,2024-01-31,71,1659.65,458.32,0,192,27010.8,2.25,36,0
CRD-00006,2026-01-22,57,3894.21,5752.82,0,218,23986.06,1.41,24,0
CRD-00007,2026-04-15,46,11547.51,17367.47,1,55,43204.83,4.46,18,0
CRD-00008,2025-10-19,30,4888.28,2568.12,0,163,4228.32,1.49,18,0
CRD-00009,2023-11-27,37,9003.72,5971.39,1,223,44013.45,2.91,18,0
CRD-00010,2024-04-17,34,16482.62,8075.5,5,1,41111.84,5.33,24,0
CRD-00011,2023-06-20,33,11741.53,13249.59,0,64,25977.02,1.12,48,0
CRD-00012,2024-11-28,34,6298.72,3011.43,0,16,41390.03,4.63,24,0
CRD-00013,2026-03-14,22,12774.0,14909.18,0,13,35987.9,2.2,6,0
CRD-00014,2024-06-15,65,8728.85,13901.39,0,101,9192.95,1.69,6,0
CRD-00015,2025-03-28,50,13687.53,694.03,0,75,28783.37,3.25,6,0
CRD-00016,2024-11-18,30,16430.4,9415.02,0,213,4596.52,4.32,12,0
CRD-00017,2023-05-18,45,12590.25,9113.62,0,206,1345.12,3.38,48,0
CRD-00018,2025-08-27,54,13999.7,7632.87,0,166,27877.99,4.03,6,0
CRD-00019,2026-04-12,59,13084.57,4257.75,2,152,8680.04,1.48,48,0
CRD-00020,2024-08-17,18,3103.89,1517.39,1,234,27656.11,3.32,6,0
CRD-00021,2024-01-24,36,4992.23,4220.96,0,181,18337.3,3.64,12,0
CRD-00022,2023-08-10,74,8242.32,2377.47,4,213,7973.22,4.23,6,0
CRD-00023,2025-10-27,51,3925.64,3964.44,0,78,31821.37,3.02,24,0
CRD-00024,2023-09-13,42,8093.88,8236.12,1,177,24776.85,3.14,24,0
CRD-00025,2024-07-13,54,16122.79,8976.7,1,27,41160.83,2.47,6,0
CRD-00026,2023-02-22,24,17935.99,27770.8,0,39,32594.08,3.56,12,0
CRD-00027,2025-12-28,74,2423.16,1302.93,0,27,16681.23,4.75,12,0
CRD-00028,2024-05-30,43,6211.01,5539.44,4,4,32945.16,1.75,24,0
CRD-00029,2024-05-20,66,15238.27,15635.75,5,41,1243.22,1.71,18,0
CRD-00030,2023-03-02,26,4038.17,3562.43,0,11,36758.58,3.19,36,0
CRD-00031,2026-01-01,63,16650.67,5940.12,5,240,30021.28,3.7,24,0
CRD-00032,2025-10-19,26,13158.25,19216.71,0,139,31775.36,5.04,6,0
CRD-00033,2024-05-08,62,2059.31,2178.64,0,75,38053.43,1.33,6,0
CRD-00034,2025-10-06,27,16049.0,10015.78,0,177,30556.07,4.64,18,0
CRD-00035,2023-05-13,69,14651.43,18998.61,0,71,8881.83,2.62,48,0
CRD-00036,2024-04-24,38,17813.87,17253.56,0,46,22254.51,4.81,48,0
CRD-00037,2026-03-26,42,4475.65,4077.78,0,142,8281.27,5.18,48,0
CRD-00038,2025-11-22,74,4582.28,4992.2,0,214,21106.36,3.96,48,1
CRD-00039,2024-04-18,57,16648.99,7908.36,1,60,16370.85,5.12,36,0
CRD-00040,2024-01-19,59,7495.78,3108.2,3,186,19646.06,3.65,12,0
CRD-00041,2023-01-07,41,6691.22,3575.22,0,15,16101.2,4.69,6,0
CRD-00042,2025-03-29,40,13405.36,12131.14,2,77,25832.33,4.0,24,0
CRD-00043,2023-01-24,55,7672.89,5332.89,4,33,34776.41,2.15,18,0
CRD-00044,2023-12-17,41,2611.12,3292.02,0,72,33501.28,2.32,36,0
CRD-00045,2024-11-01,40,6924.66,1428.37,2,212,9150.63,1.25,18,0
CRD-00046,2023-07-23,44,2998.04,2071.28,1,91,5650.24,4.39,24,1
CRD-00047,2025-04-03,64,6523.13,1410.59,0,221,36455.56,2.99,36,0
CRD-00048,2023-10-19,34,1562.95,2145.82,2,65,3667.94,2.14,12,1
CRD-00049,2023-03-22,30,8368.83,9525.38,3,202,36594.97,4.92,48,0
CRD-00050,2025-12-13,59,4263.32,4398.11,1,36,23605.19,3.04,48,0
CRD-00051,2024-10-17,70,10865.37,4417.77,4,79,30623.75,4.36,6,0
CRD-00052,2025-10-16,31,2572.06,771.38,2,149,19501.53,4.43,6,0
CRD-00053,2023-02-03,50,2855.48,2826.37,4,62,44581.53,1.56,24,0
CRD-00054,2026-04-05,61,4088.77,1730.14,2,188,34694.69,4.54,6,0
CRD-00055,2025-05-05,41,1844.07,2418.98,1,131,36211.56,2.17,48,0
CRD-00056,2024-06-01,23,2938.48,317.42,0,18,22935.35,2.44,24,1
CRD-00057,2025-12-27,68,2155.98,1838.15,5,17,19567.84,3.52,48,0
CRD-00058,2023-01-23,26,4579.9,5620.48,0,156,26168.25,4.89,6,0
CRD-00059,2024-09-17,20,6049.73,6343.46,1,66,10216.6,2.0,24,0
CRD-00060,2023-01-25,25,7396.31,10352.78,2,76,38080.73,1.11,12,0
CRD-00061,2023-04-07,66,3424.51,1955.92,0,191,20920.5,2.44,12,0
CRD-00062,2025-08-08,23,12764.9,3168.89,0,92,19508.23,4.89,24,0
CRD-00063,2026-02-19,53,7671.03,9670.95,2,205,34580.85,5.02,24,0
CRD-00064,2025-01-29,31,13274.22,19309.29,3,126,19519.55,4.34,36,0
CRD-00065,2026-03-21,47,9374.36,10004.66,0,55,27606.04,1.47,48,0
CRD-00066,2023-08-28,38,11955.29,3576.33,0,122,10737.25,2.31,18,0
