data,consumo_mwh,temperatura_c,feriado
2024-01-01,566.8,25.6,1
2024-01-02,538.98,30.0,0
2024-01-03,543.52,27.8,0
2024-01-04,528.76,26.2,0
2024-01-05,532.56,26.4,0
2024-01-06,507.09,27.4,0
2024-01-07,501.54,29.0,0
2024-01-08,540.61,25.6,0
2024-01-09,545.46,29.5,0
2024-01-10,552.63,27.5,0
2024-01-11,528.94,29.3,0
2024-01-12,553.59,23.3,0
2024-01-13,507.72,28.7,0
2024-01-14,498.6,26.4,0
2024-01-15,558.55,26.1,0
2024-01-16,572.54,27.5,0
2024-01-17,556.9,26.1,0
2024-01-18,539.73,29.4,0
2024-01-19,562.95,27.5,0
2024-01-20,498.01,27.3,0
2024-01-21,515.7,29.7,0
2024-01-22,547.03,26.8,0
2024-01-23,540.65,29.0,0
2024-01-24,542.4,29.5,0
2024-01-25,557.32,29.1,0
2024-01-26,551.56,26.1,0
2024-01-27,527.37,24.5,0
2024-01-28,537.22,30.4,0
2024-01-29,581.98,25.1,0
2024-01-30,553.22,26.7,0
2024-01-31,541.19,28.2,0
2024-02-01,527.82,27.7,0
2024-02-02,563.29,29.4,0
2024-02-03,535.3,31.4,0
2024-02-04,542.76,29.7,0
2024-02-05,528.91,29.7,0
2024-02-06,573.76,29.6,0
2024-02-07,573.49,26.9,0
2024-02-08,557.25,29.2,0
2024-02-09,565.98,25.7,0
2024-02-10,534.84,25.8,0
2024-02-11,558.66,26.2,0
2024-02-12,528.47,30.7,0
2024-02-13,564.51,25.9,0
2024-02-14,539.85,28.7,0
2024-02-15,541.06,30.9,0
2024-02-16,604.46,32.4,0
2024-02-17,556.21,29.4,0
2024-02-18,516.19,30.1,0
2024-02-19,581.68,27.6,0
2024-02-20,573.35,28.7,0
2024-02-21,581.72,33.7,0
2024-02-22,516.32,28.0,0
2024-02-23,574.97,27.3,0
2024-02-24,522.33,27.4,0
2024-02-25,570.43,29.7,0
2024-02-26,545.55,32.3,0
2024-02-27,543.68,31.0,0
2024-02-28,584.64,27.7,0
2024-02-29,542.88,30.5,0
2024-03-01,568.52,31.8,0
2024-03-02,557.45,32.0,0
2024-03-03,549.14,29.9,0
2024-03-04,572.36,30.7,0
2024-03-05,594.29,29.9,0
2024-03-06,577.75,27.5,0
2024-03-07,583.79,28.2,0
2024-03-08,574.96,29.7,0
2024-03-09,518.77,29.4,0
2024-03-10,556.8,32.1,0
2024-03-11,553.76,31.4,0
2024-03-12,584.87,29.5,0
2024-03-13,588.32,29.8,0
2024-03-14,554.42,29.3,0
2024-03-15,564.19,29.9,0
2024-03-16,579.38,32.8,0
2024-03-17,533.73,29.0,0
2024-03-18,565.52,30.7,0
2024-03-19,584.75,32.2,0
2024-03-20,594.02,30.5,0
2024-03-21,574.81,30.6,0
2024-03-22,568.94,29.0,0
2024-03-23,532.34,32.4,0
2024-03-24,553.59,28.1,0
2024-03-25,576.33,33.6,0
2024-03-26,565.7,29.7,0
2024-03-27,556.95,29.5,0
2024-03-28,566.25,29.5,0
2024-03-29,586.07,33.3,0
2024-03-30,539.98,29.4,0
2024-03-31,543.42,31.9,0
2024-04-01,567.71,33.1,0
2024-04-02,555.96,30.3,0
2024-04-03,576.49,30.9,0
2024-04-04,595.97,30.5,0
2024-04-05,549.2,30.7,0
2024-04-06,571.21,29.8,0
2024-04-07,539.29,30.9,0
2024-04-08,590.3,29.7,0
2024-04-09,570.82,33.9,0
2024-04-10,585.38,30.3,0
2024-04-11,566.34,31.7,0
2024-04-12,594.85,30.6,0
2024-04-13,531.49,30.8,0
2024-04-14,528.07,30.1,0
2024-04-15,573.79,33.9,0
2024-04-16,583.22,34.1,0
2024-04-17,580.67,31.5,0
2024-04-18,580.75,32.6,0
2024-04-19,581.51,28.0,0
2024-04-20,576.39,30.6,0
2024-04-21,549.67,33.0,0
2024-04-22,601.17,29.8,0
2024-04-23,593.64,31.7,0
2024-04-24,566.7,28.7,0
2024-04-25,577.81,29.3,0
2024-04-26,593.21,28.8,0
2024-04-27,564.2,31.2,0
2024-04-28,502.19,31.4,0
2024-04-29,560.09,33.2,0
2024-04-30,544.95,30.1,0
2024-05-01,581.81,32.4,0
2024-05-02,534.27,28.7,0
2024-05-03,590.1,31.2,0
2024-05-04,541.67,28.8,0
2024-05-05,545.16,30.9,0
2024-05-06,603.58,29.0,0
2024-05-07,578.48,30.7,0
2024-05-08,553.9,31.7,0
2024-05-09,555.62,30.6,0
2024-05-10,571.78,30.9,0
2024-05-11,541.7,30.8,0
2024-05-12,531.53,29.9,0
2024-05-13,569.67,29.4,0
2024-05-14,573.89,30.9,0
2024-05-15,588.25,32.4,0
2024-05-16,547.89,29.2,0
2024-05-17,581.27,27.9,0
2024-05-18,529.69,28.8,0
2024-05-19,533.64,29.6,0
2024-05-20,565.13,31.1,0
2024-05-21,577.88,30.7,0
2024-05-22,570.39,28.7,0
2024-05-23,570.7,28.6,0
2024-05-24,554.38,28.5,0
2024-05-25,536.97,28.9,0
2024-05-26,538.57,28.5,0
2024-05-27,538.72,26.8,0
2024-05-28,563.05,28.1,0
2024-05-29,544.12,30.3,0
2024-05-30,572.97,30.5,0
2024-05-31,572.42,28.7,0
2024-06-01,526.99,28.7,0
2024-06-02,550.67,28.9,0
2024-06-03,585.3,25.9,0
2024-06-04,577.52,29.6,0
2024-06-05,590.92,28.3,0
2024-06-06,558.92,26.3,0
2024-06-07,533.49,30.4,0
2024-06-08,528.75,29.8,0
2024-06-09,544.02,27.1,0
2024-06-10,563.66,27.2,0
2024-06-11,547.01,26.6,0
2024-06-12,579.35,28.5,0
2024-06-13,556.55,27.5,0
2024-06-14,551.13,23.7,0
2024-06-15,511.29,23.9,0
2024-06-16,516.04,28.4,0
2024-06-17,553.53,27.6,0
2024-06-18,576.15,26.4,0
2024-06-19,538.93,27.8,0
