id,cidade,causa,severidade,duracao_min,clientes_afetados,resolvido,data_abertura,data_fechamento,observacao
INC-0001,Feira de Santana,rompimento de fibra,P3,50,66,true,2026-01-08T20:09,2026-01-08T20:59,registro operacional
INC-0002,Salvador,rompimento de fibra,P3,51,118,true,2026-08-18T16:48,2026-08-18T17:39,registro operacional
INC-0003,Feira de Santana,manutenção programada,P2,100,304,true,2026-03-02T16:07,2026-03-02T17:47,registro operacional
INC-0004,Feira de Santana,erro de configuração,P3,101,10,true,2026-04-26T17:33,2026-04-26T19:14,registro operacional
INC-0005,Salvador,rompimento de fibra,P3,120,96,false,2026-02-10T11:10,,registro operacional
INC-0006,Salvador,erro de configuração,P3,121,76,true,2026-04-03T21:57,2026-04-03T23:58,registro operacional
INC-0007,Ilhéus,falha de equipamento,P3,180,84,true,2026-08-26T13:57,2026-08-26T16:57,registro operacional
INC-0008,Vitória da Conquista,rompimento de fibra,P3,181,68,true,2026-07-01T08:41,2026-07-01T11:42,registro operacional
INC-0009,Feira de Santana,falha de equipamento,P4,17,51,true,2026-04-09T12:14,2026-04-09T12:31,registro operacional
INC-0010,Feira de Santana,manutenção programada,P3,88,164,true,2026-06-30T19:09,2026-06-30T20:37,registro operacional
INC-0011,Ilhéus,queda de energia,P3,61,172,true,2026-04-30T13:58,2026-04-30T14:59,registro operacional
INC-0012,Eunápolis,falha de equipamento,P3,34,90,true,2026-03-01T21:31,2026-03-01T22:05,registro operacional
INC-0013,Eunápolis,erro de configuração,P1,380,704,true,2026-08-14T19:45,2026-08-15T02:05,registro operacional
INC-0014,Ilhéus,manutenção programada,P4,87,36,true,2026-04-29T09:56,2026-04-29T11:23,registro operacional
INC-0015,Feira de Santana,manutenção programada,P2,194,132,true,2026-04-21T17:27,2026-04-21T20:41,registro operacional
INC-0016,Eunápolis,manutenção programada,P3,32,50,true,2026-08-10T09:22,2026-08-10T09:54,registro operacional
INC-0017,Salvador,rompimento de fibra,P1,285,600,true,2026-06-03T15:29,2026-06-03T20:14,
INC-0018,Salvador,falha de equipamento,P3,157,96,true,2026-07-13T12:03,2026-07-13T14:40,registro operacional
INC-0019,Ilhéus,queda de energia,P3,136,76,false,2026-01-02T19:49,,registro operacional
INC-0020,Ilhéus,manutenção programada,P3,47,172,true,2026-08-12T18:10,2026-08-12T18:57,registro operacional
INC-0021,Salvador,manutenção programada,P2,140,288,true,2026-07-16T10:15,2026-07-16T12:35,registro operacional
INC-0022,Feira de Santana,rompimento de fibra,P3,24,88,false,2026-01-30T13:41,,registro operacional
INC-0023,Ilhéus,queda de energia,P2,190,52,true,2026-01-22T08:57,2026-01-22T12:07,registro operacional
INC-0024,Eunápolis,queda de energia,P2,166,328,true,2026-05-22T10:19,2026-05-22T13:05,registro operacional
INC-0025,Vitória da Conquista,erro de configuração,P4,30,90,true,2026-07-03T12:49,2026-07-03T13:19,registro operacional
INC-0026,Salvador,manutenção programada,P4,62,48,true,2026-02-01T11:43,2026-02-01T12:45,registro operacional
INC-0027,Salvador,queda de energia,P3,170,170,true,2026-02-27T07:37,2026-02-27T10:27,registro operacional
INC-0028,Vitória da Conquista,erro de configuração,P1,106,280,true,2026-08-10T13:08,2026-08-10T14:54,registro operacional
INC-0029,Eunápolis,erro de configuração,P2,78,144,true,2026-07-06T17:14,2026-07-06T18:32,registro operacional
INC-0030,Eunápolis,rompimento de fibra,P2,69,228,true,2026-06-19T14:51,2026-06-19T16:00,registro operacional
INC-0031,Feira de Santana,queda de energia,P3,45,36,true,2026-01-17T14:22,2026-01-17T15:07,registro operacional
