pagamento_id,cliente_id,data_vencimento,data_pagamento,valor,status
PAG-000001,CLI-0001,2026-08-01,2026-08-03,142.9,pago
PAG-000002,CLI-0001,2026-07-02,2026-07-03,142.9,pago
PAG-000003,CLI-0001,2026-06-02,2026-06-20,142.9,pago
PAG-000004,CLI-0001,2026-05-03,2026-05-01,142.9,pago
PAG-000005,CLI-0001,2026-04-03,2026-04-07,142.9,pago
PAG-000006,CLI-0001,2026-03-04,2026-03-12,142.9,pago
PAG-000007,CLI-0001,2026-02-02,2026-02-17,142.9,pago
PAG-000008,CLI-0001,2026-01-03,,142.9,pendente
PAG-000009,CLI-0001,2025-12-04,2025-12-15,142.9,pago
PAG-000010,CLI-0001,2025-11-04,2025-11-12,142.9,pago
PAG-000011,CLI-0001,2025-10-05,2025-10-04,142.9,pago
PAG-000012,CLI-0001,2025-09-05,2025-09-18,142.9,pago
PAG-000013,CLI-0002,2026-08-01,2026-08-06,145.39,pago
PAG-000014,CLI-0002,2026-07-02,2026-07-13,145.39,pago
PAG-000015,CLI-0002,2026-06-02,2026-06-18,145.39,pago
PAG-000016,CLI-0002,2026-05-03,2026-05-15,145.39,pago
PAG-000017,CLI-0002,2026-04-03,2026-04-04,145.39,pago
PAG-000018,CLI-0002,2026-03-04,2026-03-15,145.39,pago
PAG-000019,CLI-0002,2026-02-02,2026-02-13,145.39,pago
PAG-000020,CLI-0002,2026-01-03,2026-01-21,145.39,pago
PAG-000021,CLI-0002,2025-12-04,2025-12-11,145.39,pago
PAG-000022,CLI-0002,2025-11-04,2025-11-03,145.39,pago
PAG-000023,CLI-0002,2025-10-05,2025-10-11,145.39,pago
PAG-000024,CLI-0002,2025-09-05,2025-09-07,145.39,pago
PAG-000025,CLI-0003,2026-08-01,2026-07-31,103.78,pago
PAG-000026,CLI-0003,2026-07-02,,103.78,pendente
PAG-000027,CLI-0003,2026-06-02,2026-06-14,103.78,pago
PAG-000028,CLI-0003,2026-05-03,2026-05-13,103.78,pago
PAG-000029,CLI-0003,2026-04-03,2026-04-02,103.78,pago
PAG-000030,CLI-0003,2026-03-04,2026-03-11,103.78,pago
PAG-000031,CLI-0003,2026-02-02,2026-02-13,103.78,pago
PAG-000032,CLI-0003,2026-01-03,2026-01-16,103.78,pago
PAG-000033,CLI-0003,2025-12-04,2025-12-18,103.78,pago
PAG-000034,CLI-0003,2025-11-04,2025-11-06,103.78,pago
PAG-000035,CLI-0003,2025-10-05,2025-10-06,103.78,pago
PAG-000036,CLI-0003,2025-09-05,2025-09-03,103.78,pago
PAG-000037,CLI-0004,2026-08-01,2026-08-15,76.14,pago
PAG-000038,CLI-0004,2026-07-02,2026-07-19,76.14,pago
PAG-000039,CLI-0004,2026-06-02,2026-06-16,76.14,pago
PAG-000040,CLI-0004,2026-05-03,2026-05-20,76.14,pago
PAG-000041,CLI-0004,2026-04-03,2026-04-18,76.14,pago
PAG-000042,CLI-0004,2026-03-04,2026-03-22,76.14,pago
PAG-000043,CLI-0004,2026-02-02,2026-02-18,76.14,pago
PAG-000044,CLI-0004,2026-01-03,2026-01-18,76.14,pago
PAG-000045,CLI-0004,2025-12-04,2025-12-01,76.14,pago
PAG-000046,CLI-0004,2025-11-04,2025-11-21,76.14,pago
PAG-000047,CLI-0004,2025-10-05,2025-10-10,76.14,pago
PAG-000048,CLI-0004,2025-09-05,2025-09-20,76.14,pago
PAG-000049,CLI-0005,2026-08-01,2026-08-05,219.45,pago
PAG-000050,CLI-0005,2026-07-02,2026-07-07,219.45,pago
PAG-000051,CLI-0005,2026-06-02,2026-06-03,219.45,pago
PAG-000052,CLI-0005,2026-05-03,2026-05-09,219.45,pago
PAG-000053,CLI-0005,2026-04-03,2026-04-19,219.45,pago
PAG-000054,CLI-0005,2026-03-04,2026-03-06,219.45,pago
PAG-000055,CLI-0005,2026-02-02,2026-02-17,219.45,pago
PAG-000056,CLI-0005,2026-01-03,2026-01-06,219.45,pago
PAG-000057,CLI-0005,2025-12-04,2025-12-16,219.45,pago
PAG-000058,CLI-0005,2025-11-04,2025-11-15,219.45,pago
PAG-000059,CLI-0005,2025-10-05,2025-10-11,219.45,pago
PAG-000060,CLI-0005,2025-09-05,2025-09-04,219.45,pago
PAG-000061,CLI-0006,2026-08-01,2026-08-14,192.51,pago
PAG-000062,CLI-0006,2026-07-02,2026-07-16,192.51,pago
PAG-000063,CLI-0006,2026-06-02,2026-06-18,192.51,pago
PAG-000064,CLI-0006,2026-05-03,2026-05-03,192.51,pago
PAG-000065,CLI-0006,2026-04-03,2026-04-03,192.51,pago
PAG-000066,CLI-0006,2026-03-04,2026-03-11,192.51,pago
PAG-000067,CLI-0006,2026-02-02,2026-02-10,192.51,pago
PAG-000068,CLI-0006,2026-01-03,2026-01-06,192.51,pago
PAG-000069,CLI-0006,2025-12-04,2025-12-13,192.51,pago
PAG-000070,CLI-0006,2025-11-04,2025-11-02,192.51,pago
PAG-000071,CLI-0006,2025-10-05,,192.51,pendente
PAG-000072,CLI-0006,2025-09-05,2025-09-17,192.51,pago
PAG-000073,CLI-0007,2026-08-01,2026-08-18,295.58,pago
PAG-000074,CLI-0007,2026-07-02,,295.58,pendente
PAG-000075,CLI-0007,2026-06-02,2026-06-19,295.58,pago
PAG-000076,CLI-0007,2026-05-03,2026-05-18,295.58,pago
PAG-000077,CLI-0007,2026-04-03,2026-04-01,295.58,pago
PAG-000078,CLI-0007,2026-03-04,2026-03-06,295.58,pago
PAG-000079,CLI-0007,2026-02-02,2026-02-18,295.58,pago
PAG-000080,CLI-0007,2026-01-03,2026-01-12,295.58,pago
PAG-000081,CLI-0007,2025-12-04,,295.58,pendente
PAG-000082,CLI-0007,2025-11-04,2025-11-02,295.58,pago
PAG-000083,CLI-0007,2025-10-05,2025-10-05,295.58,pago
PAG-000084,CLI-0007,2025-09-05,,295.58,pendente
PAG-000085,CLI-0008,2026-08-01,2026-08-19,200.42,pago
PAG-000086,CLI-0008,2026-07-02,2026-07-07,200.42,pago
PAG-000087,CLI-0008,2026-06-02,2026-06-05,200.42,pago
PAG-000088,CLI-0008,2026-05-03,2026-05-08,200.42,pago
PAG-000089,CLI-0008,2026-04-03,2026-04-07,200.42,pago
PAG-000090,CLI-0008,2026-03-04,2026-03-10,200.42,pago
PAG-000091,CLI-0008,2026-02-02,2026-02-05,200.42,pago
PAG-000092,CLI-0008,2026-01-03,2026-01-15,200.42,pago
PAG-000093,CLI-0008,2025-12-04,2025-12-12,200.42,pago
PAG-000094,CLI-0008,2025-11-04,2025-11-09,200.42,pago
PAG-000095,CLI-0008,2025-10-05,2025-10-20,200.42,pago
PAG-000096,CLI-0008,2025-09-05,2025-09-14,200.42,pago
PAG-000097,CLI-0009,2026-08-01,2026-08-19,185.59,pago
PAG-000098,CLI-0009,2026-07-02,2026-06-29,185.59,pago
PAG-000099,CLI-0009,2026-06-02,2026-06-04,185.59,pago
PAG-000100,CLI-0009,2026-05-03,2026-05-15,185.59,pago
PAG-000101,CLI-0009,2026-04-03,2026-04-06,185.59,pago
PAG-000102,CLI-0009,2026-03-04,2026-03-10,185.59,pago
PAG-000103,CLI-0009,2026-02-02,2026-02-19,185.59,pago
PAG-000104,CLI-0009,2026-01-03,,185.59,pendente
PAG-000105,CLI-0009,2025-12-04,2025-12-21,185.59,pago
PAG-000106,CLI-0009,2025-11-04,2025-11-18,185.59,pago
PAG-000107,CLI-0009,2025-10-05,2025-10-03,185.59,pago
PAG-000108,CLI-0009,2025-09-05,2025-09-07,185.59,pago
PAG-000109,CLI-0010,2026-08-01,,215.41,pendente
PAG-000110,CLI-0010,2026-07-02,2026-07-18,215.41,pago
PAG-000111,CLI-0010,2026-06-02,2026-06-09,215.41,pago
PAG-000112,CLI-0010,2026-05-03,2026-05-20,215.41,pago
PAG-000113,CLI-0010,2026-04-03,2026-04-15,215.41,pago
PAG-000114,CLI-0010,2026-03-04,2026-03-05,215.41,pago
PAG-000115,CLI-0010,2026-02-02,2026-02-13,215.41,pago
PAG-000116,CLI-0010,2026-01-03,2026-01-03,215.41,pago
PAG-000117,CLI-0010,2025-12-04,2025-12-15,215.41,pago
PAG-000118,CLI-0010,2025-11-04,2025-11-06,215.41,pago
PAG-000119,CLI-0010,2025-10-05,,215.41,pendente
PAG-000120,CLI-0010,2025-09-05,2025-09-11,215.41,pago
PAG-000121,CLI-0011,2026-08-01,2026-07-29,312.55,pago
PAG-000122,CLI-0011,2026-07-02,2026-07-10,312.55,pago
PAG-000123,CLI-0011,2026-06-02,2026-05-31,312.55,pago
PAG-000124,CLI-0011,2026-05-03,2026-05-14,312.55,pago
PAG-000125,CLI-0011,2026-04-03,2026-04-12,312.55,pago
PAG-000126,CLI-0011,2026-03-04,2026-03-10,312.55,pago
PAG-000127,CLI-0011,2026-02-02,2026-02-19,312.55,pago
PAG-000128,CLI-0011,2026-01-03,2026-01-09,312.55,pago
PAG-000129,CLI-0011,2025-12-04,2025-12-08,312.55,pago
PAG-000130,CLI-0011,2025-11-04,2025-11-05,312.55,pago
PAG-000131,CLI-0011,2025-10-05,2025-10-16,312.55,pago
PAG-000132,CLI-0011,2025-09-05,2025-09-21,312.55,pago
PAG-000133,CLI-0012,2026-08-01,2026-07-31,160.61,pago
PAG-000134,CLI-0012,2026-07-02,2026-07-15,160.61,pago
PAG-000135,CLI-0012,2026-06-02,2026-06-01,160.61,pago
PAG-000136,CLI-0012,2026-05-03,2026-05-03,160.61,pago
PAG-000137,CLI-0012,2026-04-03,,160.61,pendente
PAG-000138,CLI-0012,2026-03-04,2026-03-17,160.61,pago
