pedido_id,cliente_id,data_pedido,canal,categoria,quantidade,preco_unitario,desconto_pct,valor_pedido
PED-00001,CLI-0112,2026-03-08,app,esporte,6,438.29,5,2498.25
PED-00002,CLI-0003,2026-01-22,marketplace,esporte,2,485.97,0,971.94
PED-00003,CLI-0427,2026-05-10,app,eletrônicos,6,547.83,15,2793.93
PED-00004,CLI-0537,2026-05-26,marketplace,beleza,2,44.42,10,79.96
PED-00005,CLI-0400,2025-02-20,app,eletrônicos,6,207.48,10,1120.39
PED-00006,CLI-0305,2025-08-20,loja,esporte,6,120.28,20,577.34
PED-00007,CLI-0112,2025-09-20,site,esporte,5,289.38,0,1446.9
PED-00008,CLI-0237,2025-02-07,site,esporte,3,471.73,15,1202.91
PED-00009,CLI-0499,2025-09-14,site,casa,5,38.98,10,175.41
PED-00010,CLI-0118,2025-11-02,marketplace,eletrônicos,2,230.54,15,391.92
PED-00011,CLI-0383,2025-05-07,site,casa,5,61.7,20,246.8
PED-00012,CLI-0476,2026-02-11,site,esporte,5,107.87,5,512.38
PED-00013,CLI-0253,2025-10-11,site,beleza,2,92.49,0,184.98
PED-00014,CLI-0142,2025-09-12,loja,casa,6,587.64,15,2996.96
PED-00015,CLI-0434,2026-02-16,site,beleza,1,106.86,0,106.86
PED-00016,CLI-0527,2026-06-07,site,casa,4,249.84,0,999.36
PED-00017,CLI-0559,2025-08-26,app,beleza,2,506.35,0,1012.7
PED-00018,CLI-0085,2025-11-02,site,esporte,2,449.3,10,808.74
PED-00019,CLI-0335,2026-01-06,site,esporte,4,169.25,20,541.6
PED-00020,CLI-0588,2025-11-15,app,livros,3,598.35,5,1705.3
PED-00021,CLI-0084,2025-05-06,loja,eletrônicos,1,571.68,15,485.93
PED-00022,CLI-0194,2025-04-01,site,beleza,2,593.68,0,1187.36
PED-00023,CLI-0597,2025-12-05,marketplace,beleza,3,342.36,15,873.02
PED-00024,CLI-0465,2026-08-16,site,esporte,1,606.85,0,606.85
PED-00025,CLI-0028,2026-05-20,app,eletrônicos,1,559.64,15,475.69
PED-00026,CLI-0587,2025-12-20,loja,eletrônicos,4,334.2,0,1336.8
PED-00027,CLI-0392,2025-05-13,site,livros,3,593.17,15,1512.58
PED-00028,CLI-0238,2025-04-06,loja,casa,4,178.13,20,570.02
PED-00029,CLI-0119,2025-09-02,marketplace,esporte,4,261.44,0,1045.76
PED-00030,CLI-0063,2026-04-14,site,esporte,4,565.1,5,2147.38
PED-00031,CLI-0466,2025-10-14,app,eletrônicos,2,214.02,15,363.83
PED-00032,CLI-0182,2026-04-29,loja,beleza,2,46.19,0,92.38
PED-00033,CLI-0463,2026-03-07,loja,esporte,6,541.75,15,2762.92
PED-00034,CLI-0310,2025-09-28,loja,beleza,3,91.51,0,274.53
PED-00035,CLI-0450,2025-02-14,app,eletrônicos,5,209.79,20,839.16
PED-00036,CLI-0021,2026-07-09,loja,livros,1,644.2,5,611.99
PED-00037,CLI-0598,2025-06-16,loja,beleza,4,50.53,10,181.91
PED-00038,CLI-0108,2025-11-03,site,eletrônicos,4,279.37,0,1117.48
PED-00039,CLI-0461,2026-05-11,loja,livros,5,316.72,0,1583.6
PED-00040,CLI-0525,2025-12-26,marketplace,casa,4,233.78,0,935.12
PED-00041,CLI-0304,2025-06-20,loja,livros,4,449.73,0,1798.92
PED-00042,CLI-0520,2025-01-26,loja,esporte,2,384.54,10,692.17
PED-00043,CLI-0445,2026-06-26,marketplace,beleza,3,486.72,0,1460.16
PED-00044,CLI-0070,2025-07-06,app,beleza,6,471.67,5,2688.52
PED-00045,CLI-0035,2025-05-16,marketplace,esporte,4,512.09,5,1945.94
PED-00046,CLI-0042,2026-04-13,app,beleza,4,394.76,5,1500.09
PED-00047,CLI-0509,2026-08-02,marketplace,beleza,4,109.21,0,436.84
PED-00048,CLI-0072,2025-07-08,site,eletrônicos,6,528.59,5,3012.96
PED-00049,CLI-0134,2026-03-25,marketplace,casa,2,642.64,0,1285.28
PED-00050,CLI-0553,2025-07-11,app,livros,6,519.16,5,2959.21
PED-00051,CLI-0248,2025-07-26,site,casa,2,164.52,15,279.68
PED-00052,CLI-0259,2025-08-09,loja,esporte,5,390.49,0,1952.45
PED-00053,CLI-0387,2025-01-24,loja,casa,4,532.7,0,2130.8
PED-00054,CLI-0134,2025-01-03,app,livros,4,404.77,15,1376.22
PED-00055,CLI-0144,2026-03-25,loja,eletrônicos,5,574.13,0,2870.65
PED-00056,CLI-0050,2025-05-20,site,esporte,5,235.18,5,1117.11
PED-00057,CLI-0570,2025-09-29,loja,livros,3,353.63,20,848.71
PED-00058,CLI-0252,2026-06-29,site,eletrônicos,4,510.88,0,2043.52
PED-00059,CLI-0533,2026-08-16,site,livros,6,494.18,20,2372.06
PED-00060,CLI-0147,2025-06-20,site,livros,3,239.24,0,717.72
PED-00061,CLI-0136,2025-09-11,loja,livros,4,277.24,0,1108.96
PED-00062,CLI-0564,2025-01-31,marketplace,beleza,4,370.11,5,1406.42
PED-00063,CLI-0235,2026-02-11,app,casa,1,446.96,0,446.96
PED-00064,CLI-0036,2025-05-06,site,beleza,2,579.04,5,1100.18
PED-00065,CLI-0214,2025-11-30,app,beleza,5,271.61,5,1290.15
PED-00066,CLI-0164,2026-04-29,marketplace,casa,5,349.47,5,1659.98
PED-00067,CLI-0318,2025-03-20,loja,esporte,3,524.51,20,1258.82
PED-00068,CLI-0592,2025-06-27,marketplace,livros,5,534.62,5,2539.44
PED-00069,CLI-0200,2025-11-04,app,beleza,1,287.93,0,287.93
PED-00070,CLI-0020,2026-07-25,loja,eletrônicos,5,22.19,0,110.95
PED-00071,CLI-0347,2025-02-12,site,casa,2,351.11,0,702.22
PED-00072,CLI-0004,2025-01-22,site,esporte,2,448.46,15,762.38
